id,scrape_id,last_scraped,host_id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
42101485,2.02008E+13,21/8/20,333906333,f,0,0,,Boroondara,-37.81365,145.01961,Entire home/apt,5,2,2,$600.00 ,2,1125,365,0,0,0,,,,,,,,,,t,35,
42103967,2.02008E+13,21/8/20,333941982,f,1,1,,Manningham,-37.7828,145.15345,Entire home/apt,4,2,3,$138.00 ,5,1125,361,3,3,1,28/2/20,10/8/20,100,10,10,10,10,10,9,t,1,0.51
42104003,2.02008E+13,20/8/20,4177728,t,27,27,"Fitzroy, Victoria, Australia",Yarra,-37.79705,144.98215,Entire home/apt,8,2,2,$363.00 ,3,1125,243,2,2,0,11/6/20,14/6/20,100,10,10,10,10,10,9,t,27,0.85
42104648,2.02008E+13,23/8/20,97189826,f,1,1,,Darebin,-37.70149,145.05139,Private room,2,1,,$26.00 ,10,1125,141,1,1,1,4/8/20,4/8/20,60,6,8,6,4,4,6,f,1,1
42105653,2.02008E+13,20/8/20,17854848,f,0,0,"Melbourne, Victoria, Australia",Port Phillip,-37.83995,144.97625,Private room,2,1,1,$70.00 ,2,1125,0,3,3,0,14/2/20,21/2/20,100,10,10,10,10,10,10,t,2,0.48
42105719,2.02008E+13,20/8/20,333970310,f,0,0,"Melbourne, Victoria, Australia",Port Phillip,-37.85285,144.97985,Entire home/apt,3,1,1,$100.00 ,2,1125,4,0,0,0,,,,,,,,,,t,1,
42105906,2.02008E+13,23/8/20,330604144,t,5,5,,Monash,-37.86138,145.11185,Private room,1,1,1,$35.00 ,5,30,90,19,19,1,13/2/20,1/8/20,100,10,10,10,10,10,10,f,5,2.95
42109960,2.02008E+13,20/8/20,104431444,f,99,99,"Toorak, Victoria, Australia",Stonnington,-37.84288,145.00873,Entire home/apt,5,2,3,$116.00 ,4,1125,0,0,0,0,,,,,,,,,,f,28,
42120244,2.02008E+13,21/8/20,235135883,f,48,48,"Port Melbourne, Victoria, Australia",Port Phillip,-37.84212,144.94133,Entire home/apt,4,1,2,$105.00 ,3,1125,329,10,10,1,22/2/20,22/7/20,94,10,9,10,10,10,9,t,47,1.65
42121078,2.02008E+13,21/8/20,260053901,f,33,33,,Casey,-38.12034,145.33444,Entire home/apt,10,5,5,$233.71 ,2,365,364,8,8,1,20/2/20,27/7/20,83,9,9,8,8,9,9,t,27,1.3
