id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21617419,Renaissance-Style Studio @ Heart of Melbourne CBD,38924543,"Klaudia, Jonathan, Maria & Tony",,Melbourne,-37.8171,144.96442,Entire home/apt,85,1,234,2020-06-29,6.94,3,11
21621772,崭新的townhouses 明亮的独享卧房洁净的浴室,88005097,士强,,Port Phillip,-37.82841,144.94155,Private room,65,1,96,2020-02-24,2.82,2,79
21623025,Light and Airy apartment in Brunchtastic Balaclava,68495503,Rosie,,Port Phillip,-37.86803,144.99524,Entire home/apt,60,5,3,2018-06-08,0.09,1,0
21623211,A beautiful and bright room in Melbourne City,117988749,Shelley,,Melbourne,-37.80186,144.9564,Private room,52,1,9,2018-01-19,0.27,1,0
21624487,Beautiful Apartment Overlooking Albert Park&Lake,46630346,Keith,,Port Phillip,-37.85228,144.98004,Entire home/apt,355,2,6,2020-03-15,0.18,1,0
21624605,Luxury Beach Front Home Close to City for Families,5469059,Andrew,,Port Phillip,-37.84855,144.95084,Entire home/apt,453,5,56,2020-07-24,1.68,1,132
21625466,Griffield House The Blue Room,151999227,Warwick,,Yarra Ranges,-37.76429,145.31979,Private room,44,1,42,2020-02-11,1.26,3,0
21625539,Griffield House The Small French Bedroom,151999227,Warwick,,Yarra Ranges,-37.76246,145.32026,Private room,30,1,5,2018-03-15,0.15,3,0
21627356,Victorian terrace house close everything!,93262445,Oliver,,Yarra,-37.83214,144.99805,Entire home/apt,95,10,1,2017-12-31,0.03,1,0
21627438,Private accommodation,157349549,Manawar,,Melbourne,-37.80607,144.94567,Private room,40,1,0,,,1,0
21627660,"St Kilda, Albert Park, & City临湖海滩度假公寓墨尔本",97548337,Xiaoyi,,Port Phillip,-37.8517,144.97861,Private room,60,4,36,2019-12-28,1.11,2,0
21628503,Modern and cozy private double bedroom,1541708,Shaun,,Yarra,-37.81012,145.00791,Private room,55,1,2,2018-03-11,0.06,1,0
21635393,A Cozy Apt Near Southern Cross With FREE WiFi,113949496,Jesse,,Melbourne,-37.81499,144.9538,Entire home/apt,48,1,43,2020-08-05,2.71,4,8
21635644,Chloe No 1,141331691,俊,,Hobsons Bay,-37.8797,144.75264,Private room,29,2,4,2018-10-14,0.12,1,0
21636416,Large bedroom with park view in Carlton Gardens,97035994,Leonie,,Melbourne,-37.80153,144.97262,Private room,50,5,1,2017-12-28,0.03,1,0
21637199,CBD! Room with a private bathroom and balcony!,93071993,Shirley,,Melbourne,-37.81278,144.9527,Private room,40,20,1,2018-01-30,0.03,1,0
21637238,Private Room in Ormond / Bentleigh East,122980437,Srinivas,,Glen Eira,-37.91071,145.05723,Private room,31,2,0,,,1,0
21638925,"CBD Luxury2BDR-ParkView,Pool,WiFi,CarPark",115113395,Kelly,,Port Phillip,-37.83582,144.97259,Entire home/apt,171,2,12,2019-11-02,0.36,24,90
21645393,Brunswick hotspot:Sydney Rd★ProHost★Views★Parking,335130912,Ruth,,Moreland,-37.7722,144.96014,Entire home/apt,78,1,67,2020-04-30,2.01,41,327
21646095,The Treehouse,76843992,David,,Yarra Ranges,-37.86465,145.37895,Private room,85,2,25,2019-11-23,0.74,1,51
21647231,"Bright, spacious quiet apt, garden & rooftop views",157548543,Jayne,,Stonnington,-37.85279,145.00812,Entire home/apt,83,4,32,2020-03-25,0.98,1,98
21647323,For Females: Chic Sky-High Apartment in the City,157550329,Maggie,,Melbourne,-37.81094,144.94945,Private room,80,2,11,2019-11-24,0.48,1,338
21647510,City Edge - cozy one-bedroom apartment in CBD#7,137003767,Serge,,Melbourne,-37.80969,144.96185,Hotel room,115,4,1,2017-12-18,0.03,10,365
21647530,City Edge - cozy one-bedroom apartment in CBD#8,137003767,Serge,,Melbourne,-37.81035,144.96109,Hotel room,113,4,2,2018-02-09,0.06,10,365
21649458,"Two bedroom townhouse, close to beach and city.",78202887,James,,Port Phillip,-37.83496,144.93597,Entire home/apt,500,5,7,2019-11-24,0.32,1,268
21649684,Lovely Armadale Apartment,24243755,Daniel,,Stonnington,-37.86464,145.02556,Private room,54,2,0,,,1,0
21649854,Stylish 2BDR apartment at heart of Doncaster,50626167,Short Stay,,Manningham,-37.78916,145.12355,Entire home/apt,150,2,11,2019-12-31,0.34,15,33
21650223,Relaxing 2BDR apartment across Doncaster Westfield,50626167,Short Stay,,Manningham,-37.7895,145.12453,Entire home/apt,108,2,9,2019-08-12,0.28,15,294
21650384,Modern and bright apartment right in the action,20679008,Johanna,,Yarra,-37.80534,144.98444,Entire home/apt,300,5,1,2018-01-01,0.03,1,201
21651378,Warm 2BDR city apartment with Stunning Views,157576622,Ravin,,Melbourne,-37.82371,144.9631,Entire home/apt,100,1,41,2020-03-06,1.21,1,365
21651615,Mansion Apartment - Breathtaking Views,157593901,Anita,,Port Phillip,-37.85392,144.98,Entire home/apt,195,5,5,2020-05-21,0.16,1,149
21654371,Stylish Spacious 2BR & 2Bath | Westfield | Garage,314043345,Shani,,Manningham,-37.78796,145.14527,Entire home/apt,106,1,42,2020-05-11,1.25,22,179
21657048,geln waverley 阳光大房,56664227,Zhang,,Monash,-37.87269,145.16054,Entire home/apt,120,2,1,2017-11-17,0.03,1,0
